General Register Office for Scotland 2001 Census of Population,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migration by Qualifications,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All people in households aged 25 to 74,All people in households aged 25 to 74,All people in households aged 25 to 74,All people in households aged 25 to 74,No quals/ Level 1/ Other,No quals/ Level 1/ Other,No quals/ Level 1/ Other,No quals/ Level 1/ Other,Level 2 or 3,Level 2 or 3,Level 2 or 3,Level 2 or 3,Level 4 or 5,Level 4 or 5,Level 4 or 5,Level 4 or 5,Outflow (moved out of area but within Scotland) All people in households aged 25 to 74,Outflow (moved out of area but within Scotland) No quals/ Level 1/ Other,Outflow (moved out of area but within Scotland) Level 2 or 3,Outflow (moved out of area but within Scotland) Level 4 or 5,Outflow - Moved out of Scotland to E & W  All people in households aged 25 to 74,Outflow - Moved out of Scotland to E & W No quals/Level 1/Other,Outflow - Moved out of Scotland to E & W Level 2 or 3,Outflow - Moved out of Scotland to E & W Level 4 or 5,Outflow - Moved out of Scotland to NI All people in households aged 25 to 74,Outflow - Moved out of Scotland to NI No quals/Level 1/Other,Outflow - MOved out of Scotland to NI Level 2 or 3,Outflow - Moved out of Scotland to NI Level 4 or 5
,Lived at same address one year ago,Moved within Datazone area,Inflow (lived elsewhere outwith area but within Scotland),Inflow (lived elsewhere outwith Scotland but within UK),Lived at same address one year ago,Moved within Datazone area,Inflow (lived elsewhere outwith area but within Scotland),Inflow (lived elsewhere outwith Scotland but within UK),Lived at same address one year ago,Moved within Datazone area,Inflow (lived elsewhere outwith area but within Scotland),Inflow (lived elsewhere outwith Scotland but within UK),Lived at same address one year ago,Moved within Datazone area,Inflow (lived elsewhere outwith area but within Scotland),Inflow (lived elsewhere outwith Scotland but within UK),,,,,,,,,,,,
S01003386,385,7,16,1,321,3,11,-,44,2,4,-,20,2,1,1,16,10,6,-,3,3,-,-,-,-,-,-
S01003387,440,4,43,4,330,4,29,2,66,-,14,2,44,-,-,-,45,38,5,2,3,-,3,-,-,-,-,-
S01003388,573,10,42,7,475,10,22,4,62,-,9,2,36,-,11,1,52,35,10,7,3,-,3,-,-,-,-,-
S01003389,559,10,61,8,416,9,29,4,90,-,17,-,53,1,15,4,71,44,14,13,7,-,4,3,-,-,-,-
S01003390,434,77,19,-,389,68,16,-,33,6,2,-,12,3,1,-,54,47,5,2,3,3,-,-,-,-,-,-
S01003391,428,7,38,5,350,7,21,1,48,-,9,1,30,-,8,3,27,13,6,8,-,-,-,-,-,-,-,-
S01003392,482,2,33,1,313,-,10,-,81,1,5,-,88,1,18,1,33,12,8,13,4,-,-,4,-,-,-,-
S01003393,604,-,38,1,497,-,29,1,74,-,7,-,33,-,2,-,14,10,1,3,-,-,-,-,-,-,-,-
S01003394,421,4,35,1,346,2,22,1,46,1,8,-,29,1,5,-,80,59,12,9,-,-,-,-,-,-,-,-
S01003395,430,-,37,2,243,-,10,1,88,-,13,-,99,-,14,1,50,10,14,26,3,3,-,-,-,-,-,-
S01003396,441,11,34,1,303,8,23,1,68,2,8,-,70,1,3,-,47,28,12,7,3,3,-,-,-,-,-,-
S01003397,353,23,40,1,307,19,31,1,26,1,8,-,20,3,1,-,35,28,5,2,7,7,-,-,-,-,-,-
S01003398,477,12,36,1,398,6,26,-,53,1,9,-,26,5,1,1,58,48,7,3,6,3,3,-,-,-,-,-
S01003399,375,2,44,4,224,1,12,3,54,1,9,-,97,-,23,1,74,28,12,34,15,-,6,9,3,-,-,3
S01003400,438,1,25,-,364,-,20,-,57,-,3,-,17,1,2,-,27,19,8,-,-,-,-,-,-,-,-,-
S01003401,383,6,27,-,352,6,23,-,22,-,4,-,9,-,-,-,37,27,7,3,-,-,-,-,-,-,-,-
S01003402,425,29,36,2,384,26,34,2,31,1,1,-,10,2,1,-,23,18,3,2,3,3,-,-,-,-,-,-
S01003403,350,1,37,9,209,1,15,2,45,-,12,2,96,-,10,5,44,11,11,22,18,4,3,11,-,-,-,-
S01003404,381,-,16,-,337,-,10,-,31,-,6,-,13,-,-,-,39,36,2,1,-,-,-,-,-,-,-,-
S01003405,513,1,29,-,449,1,25,-,49,-,2,-,15,-,2,-,27,25,2,-,-,-,-,-,-,-,-,-
S01003406,412,1,39,-,296,-,22,-,58,-,9,-,58,1,8,-,42,12,7,23,-,-,-,-,-,-,-,-
S01003407,464,1,20,-,380,1,17,-,48,-,2,-,36,-,1,-,18,13,2,3,-,-,-,-,-,-,-,-
S01003408,322,9,30,2,217,4,23,-,47,1,1,1,58,4,6,1,32,21,1,10,-,-,-,-,-,-,-,-
S01003409,447,-,55,9,248,-,17,3,85,-,16,1,114,-,22,5,62,18,19,25,7,3,-,4,-,-,-,-
S01003410,296,3,52,10,141,2,7,2,59,-,11,-,96,1,34,8,74,30,16,28,19,5,3,11,3,-,-,3
S01003411,591,2,23,-,448,2,13,-,91,-,5,-,52,-,5,-,49,34,11,4,3,3,-,-,-,-,-,-
S01003412,525,5,32,2,380,2,25,2,93,3,5,-,52,-,2,-,46,27,13,6,3,-,-,3,-,-,-,-
S01003413,405,8,46,-,340,7,40,-,46,-,4,-,19,1,2,-,29,21,4,4,3,3,-,-,-,-,-,-
S01003414,349,1,16,2,305,1,12,2,34,-,2,-,10,-,2,-,12,12,-,-,-,-,-,-,-,-,-,-
S01003415,418,3,33,-,329,3,26,-,40,-,4,-,49,-,3,-,36,17,1,18,9,3,3,3,-,-,-,-
S01003416,548,-,36,2,458,-,22,1,49,-,7,-,41,-,7,1,32,12,11,9,6,3,-,3,-,-,-,-
S01003417,506,3,35,5,319,1,12,3,112,1,10,-,75,1,13,2,49,20,10,19,-,-,-,-,3,-,-,3
S01003418,586,7,25,1,484,6,16,-,63,1,7,-,39,-,2,1,28,19,4,5,-,-,-,-,-,-,-,-
S01003419,538,3,27,-,464,3,23,-,48,-,4,-,26,-,-,-,41,31,7,3,-,-,-,-,-,-,-,-
S01003420,462,5,30,-,402,5,27,-,48,-,2,-,12,-,1,-,27,27,-,-,4,4,-,-,-,-,-,-
S01003421,333,-,17,-,275,-,11,-,40,-,1,-,18,-,5,-,5,4,1,-,-,-,-,-,-,-,-,-
S01003422,479,3,24,-,392,3,19,-,55,-,3,-,32,-,2,-,23,11,7,5,-,-,-,-,-,-,-,-
S01003423,285,-,47,13,81,-,4,4,48,-,8,4,156,-,35,5,50,2,15,33,13,-,-,13,3,-,-,3
S01003424,547,5,43,2,411,5,19,1,88,-,14,-,48,-,10,1,69,51,7,11,3,-,-,3,-,-,-,-
S01003425,379,1,44,16,167,-,5,5,76,-,12,2,136,1,27,9,48,14,9,25,10,6,-,4,-,-,-,-
S01003426,594,1,46,5,393,1,24,3,105,-,15,-,96,-,7,2,54,19,15,20,4,-,-,4,-,-,-,-
S01003427,576,-,22,-,462,-,17,-,66,-,3,-,48,-,2,-,19,11,1,7,-,-,-,-,-,-,-,-
S01003428,449,8,25,4,397,8,23,4,30,-,2,-,22,-,-,-,77,62,12,3,-,-,-,-,-,-,-,-
S01003429,196,1,52,29,79,-,6,2,21,-,9,1,96,1,37,26,70,13,8,49,24,-,-,24,-,-,-,-
S01003430,332,1,69,9,140,-,24,4,72,-,14,1,120,1,31,4,77,14,12,51,14,-,3,11,-,-,-,-
S01003431,430,3,37,-,348,3,28,-,54,-,5,-,28,-,4,-,19,8,5,6,-,-,-,-,-,-,-,-
S01003432,376,6,72,5,115,3,4,2,76,-,16,-,185,3,52,3,93,18,13,62,18,-,3,15,-,-,-,-
S01003433,290,2,63,14,82,-,6,-,55,-,9,2,153,2,48,12,83,20,18,45,12,-,-,12,-,-,-,-
S01003434,552,8,28,3,501,8,24,3,30,-,-,-,21,-,4,-,26,22,3,1,-,-,-,-,-,-,-,-
S01003435,451,11,30,-,402,8,26,-,32,1,3,-,17,2,1,-,37,33,4,-,3,3,-,-,-,-,-,-
S01003436,333,5,29,-,194,3,11,-,77,2,9,-,62,-,9,-,43,17,14,12,3,-,-,3,3,-,-,3
S01003437,230,-,48,11,53,-,6,-,39,-,2,2,138,-,40,9,97,19,27,51,13,-,-,13,-,-,-,-
S01003438,398,4,114,17,131,-,16,2,71,2,18,-,196,2,80,15,82,6,19,57,24,-,4,20,-,-,-,-
S01003439,519,5,30,2,418,4,24,2,39,1,1,-,62,-,5,-,16,15,-,1,6,3,-,3,-,-,-,-
S01003440,297,1,18,-,224,-,16,-,38,1,2,-,35,-,-,-,14,9,2,3,3,3,-,-,-,-,-,-
S01003441,587,8,58,3,442,5,36,1,80,3,9,2,65,-,13,-,78,53,11,14,3,-,-,3,-,-,-,-
S01003442,443,5,38,-,385,5,29,-,38,-,6,-,20,-,3,-,25,21,3,1,-,-,-,-,-,-,-,-
S01003443,551,6,21,1,469,6,18,1,50,-,2,-,32,-,1,-,53,35,7,11,-,-,-,-,-,-,-,-
S01003444,460,36,14,-,417,34,13,-,33,2,1,-,10,-,-,-,46,42,1,3,3,3,-,-,-,-,-,-
S01003445,483,22,37,-,381,19,26,-,58,1,3,-,44,2,8,-,55,40,8,7,8,-,4,4,-,-,-,-
S01003446,222,3,37,5,112,1,5,4,30,-,7,-,80,2,25,1,28,4,10,14,14,-,-,14,-,-,-,-
S01003447,498,6,45,1,415,5,19,-,37,1,9,-,46,-,17,1,53,35,8,10,3,-,-,3,-,-,-,-
S01003448,442,-,29,-,355,-,17,-,50,-,8,-,37,-,4,-,20,15,4,1,-,-,-,-,-,-,-,-
S01003449,388,4,50,5,151,1,16,3,78,-,10,-,159,3,24,2,65,13,17,35,21,3,3,15,3,-,-,3
S01003450,487,7,45,3,258,4,11,-,81,2,7,1,148,1,27,2,64,21,6,37,25,3,3,19,-,-,-,-
S01003451,431,1,68,10,237,1,12,1,82,-,11,3,112,-,45,6,51,21,12,18,-,-,-,-,-,-,-,-
S01003452,398,-,20,-,295,-,18,-,63,-,1,-,40,-,1,-,49,40,5,4,-,-,-,-,-,-,-,-
S01003453,376,3,70,24,131,1,15,2,60,-,14,3,185,2,41,19,70,17,12,41,19,3,-,16,-,-,-,-
S01003454,299,-,40,2,158,-,7,-,59,-,12,-,82,-,21,2,44,15,4,25,13,5,-,8,-,-,-,-
S01003455,432,12,11,-,378,12,10,-,36,-,-,-,18,-,1,-,28,23,4,1,-,-,-,-,-,-,-,-
S01003456,331,2,46,-,289,2,43,-,25,-,3,-,17,-,-,-,22,16,4,2,-,-,-,-,-,-,-,-
S01003457,515,12,45,2,424,9,33,-,49,1,4,1,42,2,8,1,44,33,2,9,-,-,-,-,-,-,-,-
S01003458,506,8,39,1,419,7,26,-,58,1,11,1,29,-,2,-,38,29,6,3,-,-,-,-,-,-,-,-
S01003459,476,2,33,1,398,-,29,-,55,1,4,-,23,1,-,1,29,23,5,1,3,3,-,-,-,-,-,-
S01003460,365,2,74,7,148,-,11,2,53,-,11,1,164,2,52,4,77,18,17,42,16,4,3,9,-,-,-,-
S01003461,488,-,18,-,373,-,13,-,72,-,3,-,43,-,2,-,22,15,4,3,-,-,-,-,-,-,-,-
S01003462,326,5,10,-,275,5,8,-,35,-,-,-,16,-,2,-,27,19,5,3,3,3,-,-,-,-,-,-
S01003463,423,7,27,3,315,3,14,-,46,2,9,3,62,2,4,-,32,19,4,9,15,-,3,12,-,-,-,-
S01003464,319,3,77,7,102,2,13,-,55,1,17,2,162,-,47,5,66,5,14,47,23,-,3,20,-,-,-,-
S01003465,481,5,93,2,200,5,23,-,119,-,17,-,162,-,53,2,90,24,26,40,5,-,-,5,-,-,-,-
S01003466,430,4,35,1,247,1,8,1,80,3,8,-,103,-,19,-,49,12,7,30,9,3,-,6,-,-,-,-
S01003467,515,5,20,1,462,5,14,1,34,-,6,-,19,-,-,-,31,23,3,5,-,-,-,-,-,-,-,-
S01003468,250,3,62,3,122,-,14,-,32,2,15,-,96,1,33,3,81,11,18,52,6,3,-,3,-,-,-,-
S01003469,608,2,55,3,369,1,14,1,115,-,12,-,124,1,29,2,64,17,14,33,9,3,3,3,-,-,-,-
S01003470,435,1,70,13,210,-,17,2,88,1,17,1,137,-,36,10,90,22,21,47,7,-,3,4,-,-,-,-
S01003471,456,5,19,2,403,5,13,2,32,-,-,-,21,-,6,-,59,46,11,2,-,-,-,-,-,-,-,-
S01003472,423,2,27,8,303,2,13,3,46,-,10,3,74,-,4,2,23,16,4,3,7,-,4,3,-,-,-,-
S01003473,533,3,36,2,371,-,11,-,65,2,10,-,97,1,15,2,50,17,14,19,5,-,-,5,-,-,-,-
S01003474,268,-,55,9,112,-,5,-,35,-,14,-,121,-,36,9,45,8,7,30,11,-,4,7,-,-,-,-
S01003475,376,-,33,9,205,-,12,-,61,-,7,1,110,-,14,8,49,17,6,26,6,-,-,6,-,-,-,-
S01003476,428,-,21,1,319,-,12,1,81,-,5,-,28,-,4,-,19,15,3,1,-,-,-,-,-,-,-,-
S01003477,610,5,65,11,216,-,11,1,132,4,13,1,262,1,41,9,86,13,19,54,-,-,-,-,-,-,-,-
S01003478,432,3,59,7,190,1,9,-,60,-,10,1,182,2,40,6,76,18,12,46,9,-,-,9,-,-,-,-
S01003479,456,1,50,6,204,-,9,-,85,1,15,-,167,-,26,6,61,16,6,39,8,3,-,5,-,-,-,-
S01003480,386,4,42,3,282,4,26,3,52,-,6,-,52,-,10,-,38,19,9,10,-,-,-,-,-,-,-,-
S01003481,519,4,80,12,208,-,21,2,92,1,10,1,219,3,49,9,71,13,17,41,8,-,-,8,3,-,-,3
S01003482,362,3,28,2,278,3,20,-,43,-,4,1,41,-,4,1,24,18,1,5,-,-,-,-,-,-,-,-
S01003483,373,2,15,-,318,2,12,-,41,-,3,-,14,-,-,-,17,13,4,-,-,-,-,-,-,-,-,-
S01003484,387,-,47,13,120,-,7,-,68,-,11,1,199,-,29,12,120,10,24,86,23,6,-,17,-,-,-,-
S01003485,388,1,69,2,115,-,6,-,68,1,16,1,205,-,47,1,91,13,16,62,15,-,-,15,-,-,-,-
S01003486,426,8,16,6,364,8,12,5,45,-,1,1,17,-,3,-,22,17,4,1,-,-,-,-,-,-,-,-
S01003487,387,2,52,4,185,-,8,1,58,2,9,-,144,-,35,3,62,12,10,40,13,-,-,13,-,-,-,-
S01003488,553,12,28,2,497,10,20,2,41,-,4,-,15,2,4,-,41,30,8,3,3,3,-,-,-,-,-,-
S01003489,546,1,31,2,492,-,26,1,37,1,3,-,17,-,2,1,24,18,4,2,-,-,-,-,-,-,-,-
S01003490,428,1,23,2,291,1,10,1,52,-,-,-,85,-,13,1,27,11,5,11,5,-,-,5,3,-,-,3
S01003491,384,4,21,7,301,4,15,3,49,-,4,-,34,-,2,4,14,10,2,2,6,3,-,3,-,-,-,-
S01003492,513,5,68,6,325,2,22,-,59,-,6,1,129,3,40,5,63,35,8,20,17,3,3,11,3,-,-,3
S01003493,408,2,43,2,318,1,21,2,52,1,7,-,38,-,15,-,29,16,7,6,7,4,-,3,-,-,-,-
S01003494,399,1,43,5,226,1,16,-,55,-,12,1,118,-,15,4,52,21,12,19,-,-,-,-,-,-,-,-
S01003495,495,2,58,2,386,2,39,2,72,-,14,-,37,-,5,-,36,25,7,4,6,3,3,-,-,-,-,-
S01003496,504,-,67,6,195,-,15,-,103,-,12,2,206,-,40,4,104,16,21,67,12,-,3,9,-,-,-,-
S01003497,483,2,78,6,139,-,10,1,79,-,13,-,265,2,55,5,68,6,12,50,12,-,3,9,3,-,-,3
S01003498,571,10,59,7,346,8,19,1,105,1,19,1,120,1,21,5,54,21,16,17,6,3,-,3,-,-,-,-
S01003499,532,5,85,7,226,-,25,-,120,-,25,-,186,5,35,7,103,26,23,54,12,-,4,8,-,-,-,-
S01003500,311,5,23,2,220,4,17,2,50,-,3,-,41,1,3,-,29,14,7,8,3,-,3,-,-,-,-,-
S01003501,266,3,48,11,69,-,10,2,60,1,13,-,137,2,25,9,67,7,9,51,9,-,3,6,-,-,-,-
S01003502,337,15,50,3,259,12,31,2,35,3,9,1,43,-,10,-,78,69,5,4,3,3,-,-,-,-,-,-
S01003503,335,2,79,11,65,-,9,-,47,-,17,1,223,2,53,10,70,7,9,54,14,-,3,11,-,-,-,-
S01003504,271,2,48,8,66,-,6,1,58,-,12,2,147,2,30,5,82,14,18,50,13,-,-,13,-,-,-,-
S01003505,347,5,32,4,266,2,22,2,50,-,3,-,31,3,7,2,42,27,4,11,-,-,-,-,-,-,-,-
S01003506,514,-,63,14,125,-,4,1,100,-,9,1,289,-,50,12,105,14,14,77,26,-,6,20,3,-,-,3
S01003507,191,1,39,5,73,-,5,1,38,-,10,1,80,1,24,3,47,15,7,25,7,-,-,7,-,-,-,-
S01003508,479,5,44,5,331,1,17,1,65,3,17,1,83,1,10,3,39,18,4,17,3,-,-,3,-,-,-,-
S01003509,414,1,58,19,70,-,5,2,65,-,8,-,279,1,45,17,62,3,11,48,17,-,3,14,3,-,-,3
S01003510,520,3,32,12,406,1,26,12,54,2,3,-,60,-,3,-,24,13,8,3,4,4,-,-,-,-,-,-
S01003511,585,4,77,10,77,-,8,-,87,-,10,1,421,4,59,9,100,9,15,76,18,-,-,18,-,-,-,-
S01003512,440,1,16,-,366,-,14,-,48,1,2,-,26,-,-,-,21,15,4,2,-,-,-,-,-,-,-,-
S01003513,237,-,52,6,64,-,5,1,41,-,13,1,132,-,34,4,73,5,17,51,16,-,-,16,-,-,-,-
S01003514,340,2,63,9,76,-,8,-,58,-,12,-,206,2,43,9,90,3,14,73,20,3,3,14,-,-,-,-
S01003515,438,3,7,-,373,3,5,-,44,-,2,-,21,-,-,-,21,17,4,-,6,-,3,3,-,-,-,-
S01003516,456,5,28,-,294,3,13,-,93,1,9,-,69,1,6,-,16,7,4,5,3,-,-,3,-,-,-,-
S01003517,399,4,50,8,145,1,8,-,72,-,12,-,182,3,30,8,64,17,9,38,8,-,-,8,-,-,-,-
S01003518,585,4,68,13,341,1,18,-,111,2,13,2,133,1,37,11,62,33,13,16,4,-,-,4,-,-,-,-
S01003519,385,2,23,6,262,2,12,1,54,-,5,1,69,-,6,4,34,9,9,16,8,4,-,4,-,-,-,-
S01003520,405,1,75,10,91,-,9,1,55,-,9,1,259,1,57,8,50,8,11,31,22,-,3,19,-,-,-,-
S01003521,187,1,41,8,57,-,6,-,40,1,9,3,90,-,26,5,49,6,13,30,14,3,3,8,-,-,-,-
S01003522,426,4,83,24,69,-,7,2,76,-,13,1,281,4,63,21,114,8,26,80,13,3,4,6,-,-,-,-
S01003523,386,2,18,1,339,2,18,1,34,-,-,-,13,-,-,-,19,11,6,2,3,3,-,-,-,-,-,-
S01003524,601,5,93,10,120,-,4,1,102,2,18,1,379,3,71,8,80,7,13,60,20,-,-,20,3,-,-,3
S01003525,519,3,87,11,129,-,9,1,99,1,16,1,291,2,62,9,100,8,21,71,19,-,-,19,-,-,-,-
S01003526,462,3,86,26,65,-,8,2,79,1,19,2,318,2,59,22,131,15,37,79,25,3,3,19,3,-,-,3
S01003527,503,5,32,-,134,1,9,-,85,4,6,-,284,-,17,-,37,9,10,18,4,-,-,4,-,-,-,-
S01003528,335,-,18,1,250,-,12,-,58,-,4,-,27,-,2,1,25,21,1,3,-,-,-,-,-,-,-,-
S01003529,281,3,35,2,195,2,23,2,59,-,11,-,27,1,1,-,31,18,8,5,-,-,-,-,-,-,-,-
S01003530,420,2,64,18,94,-,4,2,67,-,16,1,259,2,44,15,92,14,17,61,14,3,-,11,-,-,-,-
S01003531,444,2,38,4,322,2,20,2,60,-,8,-,62,-,10,2,47,24,15,8,3,-,-,3,-,-,-,-
S01003532,622,1,24,4,241,-,7,-,110,1,4,1,271,-,13,3,25,4,12,9,13,5,3,5,-,-,-,-
S01003533,416,2,42,1,305,-,23,-,70,-,11,-,41,2,8,1,40,29,7,4,-,-,-,-,-,-,-,-
S01003534,572,5,61,1,366,5,35,-,131,-,11,1,75,-,15,-,76,40,18,18,3,-,-,3,-,-,-,-
S01003535,453,3,56,2,257,3,19,2,101,-,8,-,95,-,29,-,46,28,9,9,-,-,-,-,-,-,-,-
S01003536,590,2,70,16,89,-,5,1,94,-,11,3,407,2,54,12,102,5,19,78,32,-,-,32,-,-,-,-
S01003537,481,1,34,2,287,1,15,-,70,-,7,-,124,-,12,2,53,12,11,30,3,-,-,3,-,-,-,-
S01003538,371,2,19,1,327,2,16,-,33,-,3,-,11,-,-,1,21,18,1,2,-,-,-,-,-,-,-,-
S01003539,561,1,62,10,98,-,6,-,97,-,16,2,366,1,40,8,60,4,10,46,6,-,3,3,-,-,-,-
S01003540,595,11,44,-,490,9,39,-,65,2,2,-,40,-,3,-,46,29,6,11,3,-,3,-,-,-,-,-
S01003541,431,4,43,5,293,4,23,3,78,-,9,-,60,-,11,2,51,25,9,17,3,3,-,-,-,-,-,-
S01003542,476,1,45,12,75,-,7,-,95,-,11,1,306,1,27,11,70,9,14,47,14,3,-,11,-,-,-,-
S01003543,419,-,27,1,349,-,22,-,48,-,3,1,22,-,2,-,32,23,5,4,3,-,3,-,-,-,-,-
S01003544,281,-,45,5,68,-,1,-,45,-,8,-,168,-,36,5,51,7,5,39,11,-,3,8,-,-,-,-
S01003545,495,5,56,11,60,-,3,1,93,-,9,2,342,5,44,8,70,3,17,50,12,-,-,12,-,-,-,-
S01003546,524,21,41,3,407,20,29,-,61,1,6,-,56,-,6,3,71,54,12,5,4,4,-,-,-,-,-,-
S01003547,443,3,68,9,136,1,17,1,77,1,9,4,230,1,42,4,83,12,17,54,7,-,-,7,-,-,-,-
S01003548,288,1,23,1,214,1,14,-,47,-,3,-,27,-,6,1,33,20,7,6,3,3,-,-,-,-,-,-
S01003549,397,4,19,-,360,3,16,-,25,-,2,-,12,1,1,-,37,31,4,2,3,-,3,-,-,-,-,-
S01003550,419,2,25,-,276,2,19,-,80,-,5,-,63,-,1,-,27,16,7,4,-,-,-,-,-,-,-,-
S01003551,460,1,24,-,393,1,18,-,47,-,3,-,20,-,3,-,32,21,10,1,6,3,3,-,-,-,-,-
S01003552,505,3,93,40,68,-,4,6,73,1,12,2,364,2,77,32,139,9,18,112,21,-,4,17,-,-,-,-
S01003553,417,4,23,-,366,4,20,-,33,-,1,-,18,-,2,-,23,18,1,4,-,-,-,-,-,-,-,-
S01003554,395,3,70,10,99,-,15,-,69,-,12,1,227,3,43,9,77,6,13,58,7,-,-,7,-,-,-,-
S01003555,387,2,49,13,62,-,3,-,68,2,8,3,257,-,38,10,76,8,19,49,17,3,-,14,-,-,-,-
S01003556,398,1,28,1,87,-,2,-,108,-,4,-,203,1,22,1,28,1,5,22,3,-,-,3,-,-,-,-
S01003557,392,10,28,-,339,8,19,-,33,1,8,-,20,1,1,-,35,29,3,3,-,-,-,-,-,-,-,-
S01003558,564,1,56,17,73,-,1,1,97,-,10,3,394,1,45,13,105,11,18,76,11,-,-,11,3,-,-,3
S01003559,505,-,47,3,147,-,8,1,103,-,14,1,255,-,25,1,33,8,6,19,5,-,-,5,-,-,-,-
S01003560,602,3,65,2,167,-,15,-,122,-,7,-,313,3,43,2,44,4,13,27,13,3,3,7,-,-,-,-
S01003561,500,3,43,1,372,3,30,-,67,-,4,-,61,-,9,1,44,25,11,8,-,-,-,-,-,-,-,-
S01003562,327,2,38,3,265,1,25,1,36,1,5,-,26,-,8,2,37,22,9,6,-,-,-,-,-,-,-,-
S01003563,331,2,20,2,293,2,14,-,25,-,4,2,13,-,2,-,15,10,3,2,3,3,-,-,-,-,-,-
S01003564,512,11,30,-,455,11,25,-,40,-,4,-,17,-,1,-,116,102,10,4,-,-,-,-,-,-,-,-
S01003565,522,4,24,1,445,4,23,1,45,-,-,-,32,-,1,-,27,20,5,2,-,-,-,-,-,-,-,-
S01003566,341,-,76,13,91,-,5,3,50,-,15,4,200,-,56,6,78,13,9,56,9,-,-,9,-,-,-,-
S01003567,401,10,50,-,347,10,47,-,34,-,2,-,20,-,1,-,30,22,6,2,6,6,-,-,-,-,-,-
S01003568,443,3,56,18,78,-,5,6,79,-,7,2,286,3,44,10,59,9,16,34,3,-,-,3,-,-,-,-
S01003569,359,1,9,4,117,-,2,-,65,1,1,1,177,-,6,3,23,4,4,15,8,-,3,5,-,-,-,-
S01003570,430,6,40,4,171,2,9,3,72,-,5,-,187,4,26,1,39,13,11,15,-,-,-,-,-,-,-,-
S01003571,491,2,42,2,349,1,27,2,86,-,7,-,56,1,8,-,43,22,10,11,3,-,3,-,-,-,-,-
S01003572,523,4,43,1,441,4,35,-,55,-,6,-,27,-,2,1,44,35,3,6,3,3,-,-,-,-,-,-
S01003573,545,1,33,-,472,-,25,-,53,1,4,-,20,-,4,-,25,18,3,4,-,-,-,-,-,-,-,-
S01003574,542,5,80,28,120,2,9,3,102,1,12,5,320,2,59,20,129,13,25,91,10,-,3,7,-,-,-,-
S01003575,469,2,26,6,350,1,17,3,66,1,5,1,53,-,4,2,30,19,4,7,-,-,-,-,3,-,-,3
S01003576,406,8,85,14,61,4,10,3,77,-,16,2,268,4,59,9,95,11,15,69,18,-,3,15,-,-,-,-
S01003577,464,-,16,2,401,-,15,2,40,-,1,-,23,-,-,-,57,46,9,2,3,-,-,3,-,-,-,-
S01003578,243,4,8,1,210,3,7,1,23,1,1,-,10,-,-,-,24,17,6,1,-,-,-,-,-,-,-,-
S01003579,272,4,77,1,238,1,70,1,25,3,7,-,9,-,-,-,40,35,1,4,-,-,-,-,-,-,-,-
S01003580,559,3,43,4,388,1,30,3,101,2,10,1,70,-,3,-,47,32,7,8,3,3,-,-,-,-,-,-
S01003581,463,5,56,5,313,3,20,1,60,1,9,-,90,1,27,4,71,18,12,41,11,-,-,11,-,-,-,-
S01003582,367,4,29,2,326,4,25,2,26,-,4,-,15,-,-,-,55,48,7,-,-,-,-,-,-,-,-,-
S01003583,350,-,14,1,302,-,13,1,30,-,1,-,18,-,-,-,19,13,4,2,-,-,-,-,-,-,-,-
S01003584,325,3,14,-,234,3,5,-,35,-,3,-,56,-,6,-,22,15,6,1,7,4,-,3,-,-,-,-
S01003585,360,5,25,1,242,3,10,-,67,-,7,1,51,2,8,-,38,19,8,11,8,-,-,8,-,-,-,-
S01003586,458,3,39,8,338,1,25,4,62,-,8,2,58,2,6,2,51,30,12,9,-,-,-,-,-,-,-,-
S01003587,574,4,30,4,121,-,1,-,88,-,8,-,365,4,21,4,22,6,7,9,-,-,-,-,-,-,-,-
S01003588,447,-,29,-,278,-,15,-,118,-,8,-,51,-,6,-,22,16,6,-,3,-,-,3,-,-,-,-
S01003589,596,7,60,23,132,-,10,1,99,2,13,3,365,5,37,19,76,17,8,51,8,-,-,8,-,-,-,-
S01003590,421,4,41,3,289,3,24,2,89,-,15,-,43,1,2,1,60,41,12,7,-,-,-,-,-,-,-,-
S01003591,545,10,64,-,174,1,11,-,133,3,12,-,238,6,41,-,57,10,8,39,4,-,-,4,3,-,-,3
S01003592,516,17,48,4,413,11,26,2,56,3,11,-,47,3,11,2,80,49,15,16,3,-,-,3,-,-,-,-
S01003593,488,4,33,-,377,4,16,-,70,-,11,-,41,-,6,-,36,27,6,3,-,-,-,-,-,-,-,-
S01003594,535,2,48,6,115,-,8,1,94,-,6,-,326,2,34,5,53,4,8,41,14,-,3,11,-,-,-,-
S01003595,479,5,33,-,423,2,32,-,41,1,1,-,15,2,-,-,48,32,12,4,-,-,-,-,-,-,-,-
S01003596,510,4,53,3,390,2,29,2,73,-,15,-,47,2,9,1,37,26,5,6,-,-,-,-,-,-,-,-
S01003597,376,-,12,8,111,-,3,-,50,-,-,1,215,-,9,7,24,5,5,14,4,-,-,4,-,-,-,-
S01003598,455,-,15,-,377,-,12,-,47,-,1,-,31,-,2,-,10,8,2,-,6,3,3,-,-,-,-,-
